nodes,interval,blocksize,SBR,throughput,theoretical_throughput,avg_delay,avg_prop_delay,throughput_markov,waste_rate_markov,SBR_markov,throughput_simple,waste_rate_simple,SBR_simple
512,190,5350000,0.11,0.004568801,0.005263158,2.26299,23.21222,0.004933101,0.000330057,0.062710829,-0.116906421,0.122169579,23.21222
512,85,5350000,0.17,0.008177825,0.011764706,2.26301,23.49657,0.010095361,0.001669345,0.14189432,-0.264665529,0.276430235,23.49657
512,40,5350000,0.34,0.017216436,0.025,2.26299,24.75951,0.01705669,0.00794331,0.317732413,-0.59398775,0.61898775,24.75951
32,85,5350000,0.15,0.010739705,0.011764706,2.2629,18.04953,0.010201201,0.001563505,0.132897928,-0.200582706,0.212347412,18.04953
512,190,5350000,0.12,0.004576812,0.005263158,2.263,23.21222,0.004933101,0.000330057,0.062710829,-0.116906421,0.122169579,23.21222
2096,65,5350000,0.27,0.009869832,0.015384615,2.26298,28.42761,0.011993999,0.003390617,0.220390088,-0.421963231,0.437347846,28.42761
32,130,5350000,0.17,0.005601917,0.007692308,2.26284,17.88331,0.007030042,0.000662266,0.086094576,-0.129871615,0.137563923,17.88331
1,195,5350000,0,0.005342109,0.005128205,NaN,0,0.005128205,0,0,0.005128205,0,0
2096,155,5350000,0.14,0.005687825,0.006451613,2.263,27.85951,0.00586726,0.000584353,0.090574687,-0.173287161,0.179738774,27.85951
512,35,5350000,0.38,0.017378885,0.028571429,2.26298,24.9739,0.018106657,0.010464771,0.366266999,-0.684968571,0.71354,24.9739
128,145,5350000,0.1,0.006428786,0.006896552,2.26303,19.39099,0.006396319,0.000500233,0.072533727,-0.126834414,0.133730966,19.39099
8,10,5350000,0.41,0.058675942,0.1,2.26261,11.00515,0.009305773,0.090694227,0.906942272,-1.000515,1.100515,11.00515
32,170,5350000,0.11,0.005109514,0.005882353,2.26286,17.58127,0.005501617,0.000380736,0.064725074,-0.097536882,0.103419235,17.58127
8,20,5350000,0.24,0.032214907,0.05,2.26289,10.13294,0.029123429,0.020876571,0.417531412,-0.456647,0.506647,10.13294
128,60,5350000,0.31,0.012520999,0.016666667,2.26299,19.72778,0.013694428,0.002972239,0.178334339,-0.312129667,0.328796333,19.72778
2096,40,5350000,0.4,0.013857352,0.025,2.26299,29.05638,0.01584862,0.00915138,0.366055201,-0.7014095,0.7264095,29.05638
128,125,5350000,0.14,0.006981798,0.008,2.26291,19.29536,0.007330207,0.000669793,0.083724177,-0.14636288,0.15436288,19.29536
