nodes,interval,blocksize,SBR,throughput,theoretical_throughput,avg_delay
512,40.0,26750000,0.71,0.006995647238331838,0.025,11.17898
8,10.0,26750000,0.98,0.014341696433566819,0.1,11.17903
512,190.0,26750000,0.38,0.0035178320136010645,0.005263157894736842,11.17899
8,105.0,26750000,0.22,0.006224744983515744,0.009523809523809525,11.17889
512,145.0,26750000,0.46,0.0040140415227051624,0.006896551724137931,11.17898
512,170.0,26750000,0.4,0.0038117424306303303,0.0058823529411764705,11.179
512,195.0,26750000,0.37,0.003660855939180388,0.005128205128205128,11.179
2096,185.0,26750000,0.42,0.003176232082080767,0.005405405405405406,11.17895
32,170.0,26750000,0.35,0.0039833507205921685,0.0058823529411764705,11.17886
8,20.0,26750000,0.66,0.016774574448933613,0.05,11.17885
1,10.0,26750000,0.0,0.10417686731825825,0.1,NaN
1,195.0,26750000,0.0,0.005342108922502507,0.005128205128205128,NaN
2096,145.0,26750000,0.47,0.003574869189578238,0.006896551724137931,11.17897
2096,130.0,26750000,0.5,0.0038138708068387686,0.007692307692307693,11.179
1,140.0,26750000,0.0,0.00744080449382923,0.007142857142857143,NaN
2096,25.0,26750000,0.82,0.006377699190351088,0.04,11.179
128,130.0,26750000,0.41,0.004336593367397274,0.007692307692307693,11.17896
128,90.0,26750000,0.47,0.005899466351129495,0.011111111111111112,11.17895
32,150.0,26750000,0.32,0.004437327168880101,0.006666666666666667,11.17897
32,180.0,26750000,0.35,0.004437133135681691,0.005555555555555556,11.17889
32,20.0,26750000,0.79,0.011373939957681834,0.05,11.17902
1,75.0,26750000,0.0,0.013889527421330063,0.013333333333333334,NaN
32,160.0,26750000,0.38,0.004151584479201787,0.00625,11.1789
1,80.0,26750000,0.0,0.013021435235613103,0.0125,NaN
8,135.0,26750000,0.21,0.005949083814321717,0.007407407407407408,11.1787
512,180.0,26750000,0.4,0.0033839856740504664,0.005555555555555556,11.17904
32,130.0,26750000,0.33,0.005218221591466789,0.007692307692307693,11.17885
2096,125.0,26750000,0.53,0.0039935520673066004,0.008,11.17899
8,25.0,26750000,0.6,0.01648014949177237,0.04,11.17893
128,125.0,26750000,0.41,0.004879940163060982,0.008,11.17904
8,95.0,26750000,0.25,0.007553246041475932,0.010526315789473684,11.17906
512,30.0,26750000,0.77,0.007256140943886372,0.03333333333333333,11.17901
8,155.0,26750000,0.22,0.004812241958563228,0.0064516129032258064,11.17892
32,95.0,26750000,0.45,0.006259324437372799,0.010526315789473684,11.17893
8,120.0,26750000,0.21,0.0054564884454447885,0.008333333333333333,11.17927
8,5.0,26750000,0.89,0.024766132039257073,0.2,11.17896
128,70.0,26750000,0.55,0.0059762763560578525,0.014285714285714285,11.179
8,50.0,26750000,0.44,0.01186245651138711,0.02,11.17903
1,155.0,26750000,0.0,0.006720697941792976,0.0064516129032258064,NaN
1,50.0,26750000,0.0,0.020834401096389524,0.02,NaN
8,100.0,26750000,0.29,0.007603511819110415,0.01,11.17896
512,50.0,26750000,0.69,0.006274422542900555,0.02,11.17897
128,115.0,26750000,0.45,0.004862081598033258,0.008695652173913044,11.17895
1,170.0,26750000,0.0,0.006127721696528382,0.0058823529411764705,NaN
512,70.0,26750000,0.62,0.005668624694472698,0.014285714285714285,11.179
