nodes,interval,blocksize,SBR,throughput,theoretical_throughput,avg_delay,avg_prop_delay,throughput_markov,waste_rate_markov,SBR_markov
8,145.0,5350000,0.05,0.006163911726866716,0.006896551724137931,2.26281,9.13733,0.006755696840920673,0.00014085488321725835,0.020423958066502462
512,160.0,5350000,0.16,0.005158096706081125,0.00625,2.26299,23.31013,0.006237880831987774,1.2119168012225896e-05,0.0019390668819561432
1,170.0,5350000,0.0,0.006127721696528382,0.0058823529411764705,NaN,0,0.0058823529411764705,0.0,0.0
1,80.0,5350000,0.0,0.013021435235613103,0.0125,NaN,0,0.0125,0.0,0.0
512,30.0,5350000,0.44,0.01844283458990513,0.03333333333333333,2.26302,24.26507,0.03297448815505173,0.0003588451782816029,0.010765355348448087
1,185.0,5350000,0.0,0.0056308725425534886,0.005405405405405406,NaN,0,0.005405405405405406,0.0,0.0
32,130.0,5350000,0.12,0.006396556298778539,0.007692307692307693,2.26314,18.13796,0.0075572374033561025,0.00013507028895158986,0.01755913756370668
8,40.0,5350000,0.12,0.020857793441517145,0.025,2.26305,9.72467,0.023030103119419644,0.0019698968805803574,0.0787958752232143
1,55.0,5350000,0.0,0.0189403086702104,0.01818181818181818,NaN,0,0.01818181818181818,0.0,0.0
128,65.0,5350000,0.12,0.013506716349772088,0.015384615384615385,2.26307,19.22539,0.015191745241451522,0.00019287014316386465,0.012536559305651201
2096,135.0,5350000,0.12,0.006266762807163813,0.007407407407407408,2.26301,27.88147,0.0074014042427985125,6.003164608895428e-06,0.0008104272222008828
32,55.0,5350000,0.2,0.014728991028407908,0.01818181818181818,2.26304,18.20259,0.017424521765268586,0.0007572964165495955,0.041651302910227755
8,105.0,5350000,0.1,0.010881694758668493,0.009523809523809525,2.26273,9.53711,0.009243442587463558,0.00028036693634596695,0.029438528316326526
32,105.0,5350000,0.12,0.009443193431163557,0.009523809523809525,2.26296,18.14274,0.009316708439634202,0.00020710108417532308,0.021745613838408923
512,185.0,5350000,0.16,0.005119437511370064,0.005405405405405406,2.26296,23.39998,0.005396305432370104,9.099973035301501e-06,0.0016834950115307775
32,65.0,5350000,0.18,0.011762270400481781,0.015384615384615385,2.26289,17.29114,0.014869558724196597,0.0005150566604187886,0.03347868292722126
2096,195.0,5350000,0.16,0.004365320012006376,0.005128205128205128,2.26299,27.89567,0.0051253264064116295,2.8787217934988374e-06,0.0005613507497322733
